0,HTML,234
1,Java,225
2,PHP,218
3,SQL,217
4,MySQL,214
5,Windows,189
6,MS,177
7,Word,177
8,CSS,176
9,Excel,174
10,Linux,153
11,ASP,147
12,C#,143
13,.NET,143
14,C,141
15,C++,136
16,Script,128
17,PowerPoint,127
18,Server,115
19,Outlook,96
20,Android,90
21,JavaScript,85
22,AJAX,82
23,Adobe,77
24,XP,75
25,Web,72
26,Visual,70
27,jQuery,69
28,APP,67
29,.net,64
30,iOS,61
31,Dreamweaver,60
32,Photoshop,53
33,XML,52
34,PC,52
35,Visual
Basic,50
36,Oracle,49
37,ERP,48
38,Flash,48
39,App,45
40,DHTML,43
41,VB,42
42,Internet,41
43,Illustrator,40
44,MVC,40
45,JSP,39
46,API,38
47,Javascript,37
48,Studio,37
49,and,35
50,or,34
51,IP,34
52,Access,33
53,Explorer,32
54,TCP,32
55,D,32
56,Objective,32
57,JAVA,31
58,Acrobat,31
59,php,29
60,Vista,29
61,UI,28
62,OS,28
63,a,28
64,FrontPage,27
65,com,26
66,CCNA,26
67,for,24
68,Project,24
69,Visio,24
70,test,23
71,Mac,23
72,.Net,23
73,in,23
74,with,23
75,HTTP,22
76,NT,22
77,the,22
78,to,22
79,Bug,21
80,MSSQL,21
81,Microsoft,21
82,function,20
83,DNS,20
84,web,20
85,Ajax,20
86,team,20
87,AutoCAD,20
88,tracking,19
89,MIS,19
90,on,19
91,Google,19
92,of,19
93,IT,18
94,Apache,18
95,framework,18
96,SDK,18
97,Firewall,17
98,ActionScript,17
99,Framework,17
100,JQuery,17
101,DOS,17
102,development,17
103,application,17
104,IPS,16
105,IIS,16
106,Unity,16
107,www,16
108,UML,16
109,javascript,16
110,UNIX,16
111,experience,16
112,Experience,16
113,IOS,16
114,Ghost,16
115,Git,15
116,Facebook,15
117,Python,15
118,MYSQL,15
119,app,15
120,Draw,15
121,Corel,15
122,is,15
123,based,15
124,server,15
125,AD,14
126,js,14
127,RWD,14
128,MCSE,14
129,design,14
130,Vmware,13
131,Security,13
132,PM,13
133,WEB,13
134,html,13
135,PhotoImpact,13
136,POS,13
137,java,13
138,Mobile,13
139,UX,13
140,Usability,12
141,JS,12
142,MCU,12
143,WinForm,12
144,EE,12
145,J,12
146,Assembly,12
147,Design,12
148,Socket,11
149,FTP,11
150,PL,11
151,css,11
152,x,11
153,Object,11
154,JSON,11
155,Spring,11
156,system,11
157,skills,11
158,asp,11
159,communication,11
160,Cisco,11
161,e,11
162,Have,11
163,Work,11
164,jquery,10
165,Service,10
166,CE,10
167,Database,10
168,DB,10
169,data,10
170,new,10
171,Mail,10
172,plus,10
173,management,10
174,PLC,10
175,CAD,10
176,Dbase,9
177,XHTML,9
178,SERVER,9
179,facebook,9
180,mysql,9
181,services,9
182,MySql,9
183,WIN,9
184,EQ,9
185,E,9
186,A,9
187,BI,9
188,support,9
189,Matlab,9
190,Skills,9
191,customer,9
192,project,9
193,other,9
194,working,9
195,Exchange,9
196,years,9
197,are,9
198,d,9
199,Nginx,9
200,XCode,9
201,NIDS,9
202,https,8
203,Swift,8
204,LAN,8
205,DHCP,8
206,Team,8
207,ARM,8
208,RHCE,8
209,Struts,8
210,as,8
211,that,8
212,Client,8
213,software,8
214,able,8
215,FreeBSD,8
216,CCNP,8
217,mail,8
218,code,8
219,closely,8
220,stress,8
221,Fireworks,8
222,Mysql,7
223,F,7
224,AM,7
225,Open,7
226,MongoDB,7
227,OOP,7
228,PCB,7
229,PS,7
230,AngularJS,7
231,React,7
232,Developer,7
233,Eclipse,7
234,SEO,7
235,Office,7
236,B,7
237,solutions,7
238,knowledge,7
239,product,7
240,technical,7
241,customers,7
242,well,7
243,AWS,7
244,Be,7
245,Strong,7
246,tools,7
247,from,7
248,up,7
249,Store,7
250,http,7
251,tw,7
252,android,7
253,iPhone,7
254,PHP+,7
255,LabVIEW,7
256,LAMP,7
257,We,7
258,ios,7
259,Perl,7
260,Router,6
261,Switch,6
262,Line,6
263,Jquery,6
264,I,6
265,EXCEL,6
266,Bootstrap,6
267,Shell,6
268,Master,6
269,Management,6
270,platform,6
271,NAS,6
272,FB,6
273,IBM,6
274,projects,6
275,service,6
276,high,6
277,work,6
278,an,6
279,Develop,6
280,R,6
281,Routers,6
282,QA,6
283,Familiar,6
284,English,6
285,base,6
286,troubleshooting,6
287,be,6
288,s,6
289,EDM,6
290,Pattern,6
291,c,6
292,Oriented,6
293,To,6
294,will,6
295,oriented,6
296,efficient,6
297,MFC,6
298,Toad,6
299,BIOS,6
300,Max,6
301,Source,5
302,LINE,5
303,Informix,5
304,WINDOWS,5
305,SOP,5
306,MCITP,5
